Url,SearchTerm,IsPresent
twitter.com/,hello,true
tumblr.com/,hello,false
wikipedia.org/,hello,false
youtube.com/,hello,false
adobe.com/,hello,false
wordpress.com/,hello,false
yahoo.com/,hello,false
flickr.com/,hello,false
wordpress.org/,hello,false
google.com/,hello,false
amazon.com/,hello,true
facebook.com/,hello,false
youtu.be/,hello,false
w3.org/,hello,false
linkedin.com/,hello,false
blogspot.com/,hello,false
myspace.com/,hello,false
vimeo.com/,hello,false
pinterest.com/,hello,false
microsoft.com/,hello,false
apple.com/,hello,true
